Name,Address,Category,Organization Type,Description,Services,Career Fields,Student Connections,Website,Phone,Email,Record ID,Source
Lompoc Record,"Lompoc, CA 93436","Arts, Culture & Media",Business,Local news publication serving the Lompoc Valley.,Local news • Photography • Advertising • Digital publishing,Journalism • Photography • Editing • Advertising • Web publishing,Reporter or editor interview inquiry,https://www.lompocrecord.com/,,,LOM-LOMPOC-RECORD,Official organization website; reviewed 2026-08
Lompoc Theatre Project,"238 N H St, Lompoc, CA 93436","Arts, Culture & Media",Nonprofit,Community nonprofit restoring the historic Lompoc Theatre as an arts and education center.,Historic theatre restoration • Performing arts • Community events • Fundraising • Volunteer coordination,Performing arts • Construction • Event production • Marketing • Nonprofit management,Volunteer inquiry • Creative project partnership,https://lompoctheatre.org/,,info@lompoctheatre.org,LOM-THEATRE-PROJECT,Momentum Lompoc directory v23.1.0
Lompoc Valley Art Association / Cypress Gallery,"119 E Cypress Ave, Lompoc, CA 93436","Arts, Culture & Media",Nonprofit,Local nonprofit gallery operated by artists; strong fit for creative career exploration.,Gallery operations • Local artist exhibitions • Ceramics • Photography • Jewelry and gift sales,Visual arts • Gallery management • Photography • Ceramics • Arts marketing,Artist conversation inquiry • Gallery or exhibit exploration,https://lompocart.org/,805-737-1129,,LOM-CYPRESS-ART,Official organization website; reviewed 2026-08
Lompoc Valley Florist & Home Decor,"322 N H St, Suite A, Lompoc, CA 93436","Arts, Culture & Media",Business,,Floral arrangements • Event design • Retail • Delivery,Floral design • Event planning • Retail • Entrepreneurship,Potential partner inquiry,https://www.google.com/maps/search/?api=1&query=Lompoc+Valley+Florist+%26+Home+Decor%2C+Lompoc%2C+CA,,,LOM-LOMPOC-FLORIST,Momentum local business research; reviewed 2026-08
Lompoc Valley Historical Society,"207 N L St, Lompoc, CA 93436","Arts, Culture & Media",Nonprofit,Volunteer-run organization preserving and interpreting Lompoc Valley history.,Local history • Archives • Museum exhibits • Tours • Volunteer operations,History • Archives • Museum studies • Education • Research,Volunteer inquiry • Local-history research partner,https://lompochistory.org/,805-735-4626,lompochistory@gmail.com,LOM-HISTORICAL-SOCIETY,Momentum Lompoc directory v23.1.0
Lompoc Valley Master Chorale,"P.O. Box 24, Lompoc, CA 93438","Arts, Culture & Media",Nonprofit,Community chorale and performing-arts organization.,Choral music • Concert production • Community performances,Music performance • Conducting • Arts administration • Event production,Rehearsal observation inquiry • Arts leadership conversation,https://www.lvmasterchorale.org/,805-735-5161,,LOM-MASTER-CHORALE,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Valley Pride Association,"Lompoc, CA","Arts, Culture & Media",Nonprofit,Community events and outreach organization.,Events • Community outreach • Advocacy • Volunteer service,,,https://www.lompocvalleypride.com/,,,LOM-LOMPOCPRIDE,Lompoc starter directory
New Lows,"Old Town Lompoc, CA 93436","Arts, Culture & Media",Business,"Local art, apparel, skateboard, and custom screen-printing business.",Art retail • Apparel • Skateboards • Custom screen printing • Community art events,Graphic design • Screen printing • Fashion • Retail • Entrepreneurship,Creative business exploration,https://explorelompoc.com/directory/new-lows/,,,LOM-NEW-LOWS,Momentum Lompoc directory v23.1.0
Prelado de los Tesoros de La Purísima,"2295 Purisima Rd, Lompoc, CA 93436","Arts, Culture & Media",Nonprofit,Volunteer-operated nonprofit partner supporting programs and preservation at La Purísima Mission.,Historic preservation • School programs • Docent support • Animal care support • Fundraising,History • Education • Museum studies • Preservation • Event planning,Volunteer inquiry • History project partner,https://www.lapurisimamission.org/,805-736-3606,,LOM-PRELADO,Momentum Lompoc directory v23.1.0
AutoZone,"701 N H St, Lompoc, CA 93436",Automotive & Transportation,Business,Automotive parts retail.,Auto parts • Sales • Inventory • Customer service,,,https://www.autozone.com/locations/ca/lompoc.html,,,LOM-AUTOZONE,Lompoc starter directory
City of Lompoc Transit,"1300 W Laurel Ave, Lompoc, CA 93436",Automotive & Transportation,Business,Public transportation services.,Transportation • Driving • Customer service • Maintenance,,,https://www.cityoflompoc.com/government/departments/public-works/transit,,,LOM-COLT,Lompoc starter directory
Conserv Fuel — Lompoc,"801 E Ocean Ave, Lompoc, CA 93436",Automotive & Transportation,Business,"Local fuel & convenience connection for career exploration, projects, and community outreach.",Fuel service • Convenience retail • Customer service • Site operations,Automotive • Retail • Business • Customer service,Career exploration • Employment inquiry,https://conservfuel.com/,,,LOM-CONSERVFUEL,Momentum local business research; reviewed 2026-08
Lompoc Airport,"1801 N H St, Lompoc, CA 93436",Automotive & Transportation,Government,,Airport operations • Aviation • Transportation infrastructure,Aviation • Airport management • Maintenance • Public works,Aviation career conversation inquiry,https://www.cityoflompoc.com/government/departments/public-works/transportation/lompoc-airport,805-875-8268,,LOM-AIRPORT,City of Lompoc official website; reviewed 2026-08
Lompoc Fuel,"1100 E Ocean Ave, Lompoc, CA 93436",Automotive & Transportation,Business,"Local fuel & convenience connection for career exploration, projects, and community outreach.",Fuel service • Convenience retail • Customer service • Site operations,Automotive • Retail • Business,Career exploration,https://www.google.com/maps/search/?api=1&query=Lompoc+Fuel%2C+Lompoc%2C+CA,,,LOM-LOMPOCFUEL,Momentum local business research; reviewed 2026-08
Lompoc Taxi,"Lompoc, CA 93436",Automotive & Transportation,Business,Local taxi service.,Transportation • Customer service • Dispatch,,,https://explorelompoc.com/directory/cabs/,,,LOM-CABS,Lompoc starter directory
O'Reilly Auto Parts,"511 W Central Ave, Lompoc, CA 93436",Automotive & Transportation,Business,Automotive parts and service support.,Auto parts • Sales • Inventory • Delivery,,,https://locations.oreillyauto.com/ca/lompoc/,,,LOM-OReilly,Lompoc starter directory
RocketTown Honda,"1224 N H St, Lompoc, CA 93436",Automotive & Transportation,Business,"Full-service local Honda dealership with sales, service, and parts departments.",Vehicle sales • Automotive service • Parts • Finance • Customer service,Automotive technology • Sales • Finance • Service advising • Business operations,Automotive career conversation inquiry,https://www.rockettownhonda.com/,805-741-2300,,LOM-ROCKETTOWN-HONDA,Momentum Lompoc directory v23.1.0
Stuart's Petroleum,"940 N H St, Lompoc, CA 93436",Automotive & Transportation,Business,"Local fuel & convenience connection for career exploration, projects, and community outreach.",Fuel service • Convenience retail • Customer service • Site operations,Automotive • Retail • Business,Career exploration,https://www.google.com/maps/search/?api=1&query=Stuart%27s+Petroleum%2C+Lompoc%2C+CA,,,LOM-STUARTSPETROLEUM,Momentum local business research; reviewed 2026-08
Sunset Auto Center,"1300 N H St, Lompoc, CA 93436",Automotive & Transportation,Business,"Local automotive sales & service connection for career exploration, projects, and community outreach.",Vehicle sales • Automotive service • Parts • Customer service,Automotive technology • Sales • Business • Customer service,Career exploration • Job-shadow inquiry,https://sunsetautocenter.com/,,,LOM-SUNSETAUTO,Momentum local business research; reviewed 2026-08
Toyota of Lompoc,"203 E Ocean Ave, Lompoc, CA 93436",Automotive & Transportation,Business,"Local Toyota dealership with sales, finance, parts, and service career areas.",Vehicle sales • Automotive service • Parts • Finance • Customer care,Automotive technology • Sales • Finance • Marketing • Management,Automotive career conversation inquiry,https://www.toyotaoflompoc.com/,805-736-1295,,LOM-TOYOTA,Momentum Lompoc directory v23.1.0
United States Postal Service — Lompoc,"801 W Ocean Ave, Lompoc, CA 93436",Automotive & Transportation,Government,"Postal, logistics, and customer-service careers.",Mail operations • Logistics • Customer service • Transportation,,,https://www.usps.com/,,,LOM-USPS,Lompoc starter directory
V&J Rock Transport,"Lompoc, CA 93438",Automotive & Transportation,Business,,Material transport • Trucking • Construction support,Commercial driving • Logistics • Heavy equipment • Dispatch,Potential partner inquiry,,805-736-2317,,LOM-VJ-ROCK,Lompoc Valley Chamber member directory; reviewed 2026-08
CoastHills Credit Union,"1320 N H St, Lompoc, CA 93436",Business & Finance,Business,Local credit union and financial-services careers.,Banking • Customer service • Finance • Marketing,,,https://www.coasthills.coop/,,,LOM-COASTHILLS,Lompoc starter directory
Economic Development Collaborative — Lompoc Business Support,"Lompoc, CA 93436",Business & Finance,Community Organization,"Local business advising connection for career exploration, projects, and community outreach.",Business advising • Small-business loans • Entrepreneurship support • Workshops,Entrepreneurship • Finance • Marketing • Business management,Career exploration • Entrepreneurship mentoring,https://edcollaborative.com/,,,LOM-EDC,Momentum local business research; reviewed 2026-08
Edward Jones — Lompoc,"Lompoc, CA",Business & Finance,Business,Financial-advising and office careers.,Financial planning • Customer service • Business • Administration,,,https://www.edwardjones.com/us-en/financial-advisor-office/lompoc-ca,,,LOM-EDWARDJONES,Lompoc starter directory
Excel Personnel Services,"516 N H St, Lompoc, CA 93436",Business & Finance,Business,Local staffing office and career-services connection.,Staffing • Recruiting • Resume support • Employer services,Human resources • Recruiting • Office administration • Career services,Career-readiness conversation inquiry,https://www.excelpersonnelservices.com/,805-735-6723,,LOM-EXCEL-PERSONNEL,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Valley Association of Realtors,"Lompoc, CA 93436",Business & Finance,Community Organization,"Local professional association connection for career exploration, projects, and community outreach.",Real estate education • Professional networking • Housing information • Community service,Real estate • Business • Finance • Community development,Career exploration • Professional interview,https://www.lvar.org/,,,LOM-LVAR,Momentum local business research; reviewed 2026-08
Lompoc Valley Chamber of Commerce,"111 S I St, Lompoc, CA 93436",Business & Finance,Business,Local business and community organization.,Business • Marketing • Events • Community development,,,https://lompoc.com/,,,LOM-CHAMBER,Lompoc starter directory
Mechanics Bank,"Lompoc, CA",Business & Finance,Business,Banking and financial-services careers.,Banking • Finance • Customer service • Business services,,,https://www.mechanicsbank.com/,,,LOM-RABOBANK,Lompoc starter directory
SESLOC Federal Credit Union,"Lompoc, CA",Business & Finance,Business,Credit union and financial-services careers.,Banking • Finance • Customer service • Technology,,,https://www.sesloc.org/,,,LOM-SESCLOCU,Lompoc starter directory
Allan Hancock College — Lompoc Valley Center,"1 Hancock Dr, Lompoc, CA 93436",Education & Training,Education,"Local Allan Hancock College campus with academic, certificate, and career-technical pathways. Use the College Pathways section in Momentum for the detailed program explorer.",College programs • Career and technical education • Certificates and degrees • Student services • Career pathways • Technical training,College pathways • Skilled trades • Healthcare • Business • Public safety • Arts and technology,Local college exploration • Career-program research • Enrollment and student-services inquiry,https://www.hancockcollege.edu/about/campuses/lvc.php,,,LOM-COLLEGE,Official Allan Hancock College Lompoc Valley Center and pathways pages; reviewed 2026-08
Center for Employment Training — Santa Maria,"509 W Morrison Ave, Santa Maria, CA 93458",Education & Training,Trade School,Accredited career-training center offering hands-on programs in Santa Maria.,Green building construction skills • Medical assistant training • Business office administration • Hands-on job training • Career placement support,Construction • Green building • Healthcare • Medical assisting • Office administration,Trade-school exploration • Admissions inquiry • Career training research,https://cetweb.edu/location/santa-maria-ca,805-928-1737,,REG-CET-SANTA-MARIA,Official CET Santa Maria location page; reviewed 2026-08
Cuesta College — Skilled Trades & Technology,"3000 Education Dr, San Luis Obispo, CA 93405",Education & Training,Education,Central Coast community college division focused on hands-on skilled-trades and technology programs.,Automotive and auto body technology • Aviation maintenance • Construction technology • Welding technology • Electronics and electrical technology • Computer and networking technology • Architectural technology • Criminal justice,Automotive • Aviation • Construction • Welding • Electrical • Networking • Architecture • Public safety,Degree and certificate exploration • Dual-enrollment research • Career technical education planning,https://www.cuesta.edu/academics/areas-of-study/skilled-trades-tech/index.html,805-546-3100,,REG-CUESTA-SKILLED-TRADES,Official Cuesta College skilled trades pages; reviewed 2026-08
Laurus College — Santa Maria Learning Site,"411 E Betteravia Rd, Suite 100-B, Santa Maria, CA 93454",Education & Training,Career College,Career-focused college with online programs and an on-site Santa Maria support location.,Information technology • Cyber security • Business administration • Audio and video production • Online degree programs • On-site computer labs and advising,Information technology • Cybersecurity • Business • Audio production • Video production,Career-college exploration • Online-program research • Admissions inquiry,https://lauruscollege.edu/locations/,805-267-1690,admissions@lauruscollege.edu,REG-LAURUS-SANTA-MARIA,Official Laurus College locations and programs pages; reviewed 2026-08
Lompoc Adult School,"Lompoc, CA",Education & Training,Education,Adult education and career preparation.,Adult education • GED preparation • Career training • Student support,,,https://www.lusd.org/,,,LOM-ADULTED,Lompoc starter directory
Lompoc Unified School District,"1301 N A St, Lompoc, CA 93436",Education & Training,Government,School-district careers beyond classroom teaching.,Teaching • Technology • Transportation • Food service • Maintenance,,,https://www.lusd.org/,,,LOM-LUSD,Lompoc starter directory
San Luis Obispo Adult School — Culinary Training,"1500 Lizzie St, Building H2, San Luis Obispo, CA 93401",Education & Training,Adult Education,Regional adult school with a food-services and culinary program alongside diploma and equivalency support.,Food services program • Culinary training • Adult high school diploma • High school equivalency • English as a second language,Culinary arts • Food service • Hospitality • Adult education,Culinary-program inquiry • Adult education planning • Diploma and equivalency support,https://ae.slcusd.org/,805-549-1222,,REG-SLO-ADULT-CULINARY,Official San Luis Obispo Adult School website; reviewed 2026-08
Santa Barbara City College Career Education,"721 Cliff Dr, Santa Barbara, CA 93109",Education & Training,Education,Regional community college with extensive hands-on career education and technical certificate pathways.,Automotive service and technology • Construction technology • Electrician trainee courses • Culinary arts and hospitality • Cosmetology • Drafting and CAD • Marine diving technology • Computer networking and electronics,Automotive • Construction • Electrical • Culinary arts • Hospitality • Cosmetology • Drafting • Technology,Certificate and associate-degree exploration • Career education planning • Program research,https://www.sbcc.edu/careercenter/careereducationmajors/,805-730-4000,,REG-SBCC-CAREER-ED,Official SBCC career education pages; reviewed 2026-08
Santa Barbara County Education Office — Career Technical Education,"4400 Cathedral Oaks Rd, Santa Barbara, CA 93110",Education & Training,Education Resource,"Countywide resource for hands-on CTE pathways, industry certifications, and real-world career preparation.",Countywide CTE pathway information • Industry certifications • Work-based learning • Internship connections • College and career readiness,Career technical education • Work-based learning • Industry certification • Education,Regional CTE pathway research • Certification exploration • Work-based learning inquiry,https://www.sbceo.org/programs/cte/overview,805-964-4711,,REG-SBCEO-CTE,Official Santa Barbara County Education Office CTE page; reviewed 2026-08
Santa Maria Joint Union High School District — Career Technical Education,"2560 Skyway Dr, Santa Maria, CA 93455",Education & Training,Education,Regional high-school district offering career technical education and dual-enrollment pathways.,High-school career technical education • Dual enrollment • Hands-on pathway courses • College and career readiness • Industry-aligned instruction,Career technical education • Skilled trades • Healthcare • Agriculture • Technology,High-school CTE pathway exploration • Dual-enrollment research • Regional program inquiry,https://www.smjuhsd.k12.ca.us/,805-922-4573,,REG-SMJUHSD-CTE,Official Santa Maria Joint Union High School District website; reviewed 2026-08
Ventura College Career Education,"4667 Telegraph Rd, Ventura, CA 93003",Education & Training,Education,Central Coast community college with career education certificates and hands-on technical programs.,Automotive career education • Construction technology • Manufacturing technology • Welding • Public safety • Healthcare programs • Business and technology certificates,Automotive • Construction • Manufacturing • Welding • Public safety • Healthcare • Technology,Certificate and degree exploration • Career education planning • Program research,https://www.venturacollege.edu/departments/academic/career-education,805-289-6000,,REG-VENTURA-CAREER-ED,Official Ventura College career education page; reviewed 2026-08
Alfie's Fish & Chips,"610 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Restaurant service • Food preparation • Customer service • Kitchen operations,Culinary arts • Hospitality • Business • Customer service,Career exploration • Workplace visit inquiry,https://www.alfiesfishandchips.com/,,,LOM-ALFIES,Momentum local business research; reviewed 2026-08
American Host Restaurant & Catering,"113 N I St, Lompoc, CA 93436",Food & Drink,Business,Longstanding local restaurant and catering business.,Restaurant service • Catering • Food preparation • Customer service • Event support,Culinary arts • Hospitality • Event planning • Business operations,Career conversation inquiry,https://explorelompoc.com/directory/americanhostamericandiner/,805-735-5188,,LOM-AMERICAN-HOST,Momentum Lompoc directory v23.1.0
Angela's Mexican Restaurant,"115 S J St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Mexican cuisine • Restaurant service • Food preparation • Customer service,Culinary arts • Hospitality • Small business,Career exploration • Small-business interview,https://www.google.com/maps/search/?api=1&query=Angela%27s+Mexican+Restaurant%2C+Lompoc%2C+CA,,,LOM-ANGELAS,Momentum local business research; reviewed 2026-08
Applebee's,"621 W Central Ave, Lompoc, CA 93436",Food & Drink,Business,Full-service restaurant.,Food service • Cooking • Management,,,https://explorelompoc.com/restaurants/,,,LOM-APPLEBEES,Lompoc starter directory
Burritos Lalo,"Lompoc, CA",Food & Drink,Business,Family-operated Mexican restaurant.,Cooking • Food preparation • Customer service,,,https://explorelompoc.com/restaurants/,,,LOM-BURRITOSLALO,Lompoc starter directory
Cajun Kitchen Cafe — Lompoc,"1508 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant & cafe connection for career exploration, projects, and community outreach.",Breakfast service • Café operations • Food preparation • Customer service,Culinary arts • Hospitality • Business,Career exploration,https://www.cajunkitchencafe.com/,,,LOM-CAJUNKITCHEN,Momentum local business research; reviewed 2026-08
Capulin Eats & Provisions,"300 N 12th St Suite 1E, Lompoc, CA 93436",Food & Drink,Business,"Breakfast, lunch, coffee, and desserts.",Food service • Coffee • Baking • Hospitality,,,https://explorelompoc.com/directory/capulin-eats-provisions/,,,LOM-CAPULIN,Lompoc starter directory
Chow-Ya,"713 E Ocean Ave, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Asian cuisine • Food preparation • Restaurant service • Customer service,Culinary arts • Hospitality • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=Chow-Ya%2C+Lompoc%2C+CA,,,LOM-CHOWYA,Momentum local business research; reviewed 2026-08
Diamond Tea & Sushi,"1133 N H St Suite H, Lompoc, CA 93436",Food & Drink,Business,"Tea, boba, and restaurant service.",Tea • Restaurant service • Food preparation • Customer service,,,https://www.diamondteasushi.com/,,,LOM-DIAMOND,Lompoc starter directory
Dong Hae Sushi,"Lompoc, CA",Food & Drink,Business,Japanese restaurant.,Food preparation • Restaurant service,,,https://explorelompoc.com/restaurants/,,,LOM-DONGHAE,Lompoc starter directory
Eddie's Grill — Lompoc,"1325 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Grill cooking • Restaurant service • Customer service • Kitchen operations,Culinary arts • Hospitality • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=Eddie%27s+Grill%2C+Lompoc%2C+CA,,,LOM-EDDIESGRILL,Momentum local business research; reviewed 2026-08
El Palmar Mexican Restaurant,"722 E Ocean Ave, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Mexican cuisine • Restaurant service • Food preparation • Customer service,Culinary arts • Hospitality • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=El+Palmar+Mexican+Restaurant%2C+Lompoc%2C+CA,,,LOM-ELPALMAR,Momentum local business research; reviewed 2026-08
El Toro Bronco,"1030 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Restaurant service • Mexican cuisine • Kitchen operations • Customer service,Culinary arts • Hospitality • Customer service,Career exploration • Workplace visit inquiry,https://www.eltorobroncolompoc.com/,,,LOM-ELTOROBRONCO,Momentum local business research; reviewed 2026-08
Fatte's Pizza,"Lompoc, CA",Food & Drink,Business,Local pizza restaurant.,Food preparation • Delivery • Customer service,,,https://explorelompoc.com/casual-eats/,,,LOM-FATTES,Lompoc starter directory
Floriano's Mexican Food,"1140 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Mexican cuisine • Food preparation • Customer service • Catering,Culinary arts • Hospitality • Business,Career exploration • Culinary inquiry,https://florianos.net/,,,LOM-FLORIANOS,Momentum local business research; reviewed 2026-08
